คุโด้ ชินอิจิ,1.jpg
คุโด้ ยูกิโกะ,2.jpg
คุโด้ ยูซาโกะ,3.jpg
โมริ โคโกโร่,4.jpg
คิซากิ เอริ,5.jpg
โมริ รัน,6.jpg
ไฮบาระ  ไอ,7.jpg
มิยาโนะ อาเคมิ,8.jpg
มิยาโนะ เอเลน่า,9.jpg
มิยาโนะ อัทซึซิ,10.jpg
โยชิดะ อายูมิ,11.jpg
ซึบุรายะ มิซึฮิโกะ,12.jpg
โคจิมะ เก็นตะ,13.jpg
โคจิมะ เก็นจิ,14.jpg
ยีน,15.jpg
วอดก้า,16.jpg
เคียนติ,17.jpg
คริส วินยาร์ด ,18.jpg
กอร์น,19.jpg
อามุโระ โทโอรุ   หรือ   ฟุรุยะ เรย์,20.jpg
โยเนฮาระ ซากุระโกะ,21.jpg
ปิสโก้,22.jpg
เตกิล่า,23.jpg
คาลวาโดส,24.jpg
มิซึนาชิ เรย์นะ,25.jpg
ไอริช,26.jpg
คูราโซ่,27.jpg
โอกิยะ สึบารุ,28.jpg
อากาอิ ชูอิจิ,29.jpg
เมงูเระ จูโซ,30.jpg
เมงูเระ มิโดริ,31.jpg
ทาคางิ วาตารุ,32.jpg
ซาโต้ มิวาโกะ,33.jpg
ชิราโทริ นินซาบุโร่,34.jpg
โคบายาชิ ซึมึโกะ,35.jpg
มิยาโมโต้ ยูมิ,36.jpg
ชิบะ คาซึโนบุ,37.jpg
นากาโมริ กินโซ,38.jpg
โทเมะ,39.jpg
มัสสึโมโตะ คิโยนางะ,40.jpg
มิอิเกะ นาเอะโกะ,41.jpg
ดาเตะ วาตารุ,42.jpg
ฮัตโตริ เฮย์โซ,43.jpg
โทยามะ คินจิโร่,44.jpg
โยโคมิโซะ จูโง,45.jpg
โยโคมิโซะ ซังโง,46.jpg
ยามามูระ มิซาโอะ,47.jpg
ยามาโตะ คันซึเกะ,48.jpg
อุเอฮาระ ยูอิ,49.jpg
โจดี้ สตาร์ลิ่ง,50.jpg
เจมส์ แบล็ก,51.jpg
อังเดร คาเมล,52.jpg
ฮอนโดะ เอย์สึเกะ,53.jpg
คุโรบะ โทอิจิ,54.jpg
คุโรบะ ไคโตะ,55.jpg
จิอิ โคโนะสึเกะ,56.jpg
ดร.อากาสะ ฮิโรชิ,57.jpg
ซึซึกิ โซโนโกะ,58.jpg
ฮัตโตริ เฮย์จิ,59.jpg
โทยามะ คาซึฮะ,60.jpg
เคียวโงคุ มาโคโตะ,61.jpg
ฮาคุบะ  ซางุรุ,62.jpg
อาราอิเดะ โทโมอากิ,63.jpg
เซระ มาสึมิ,64.jpg
ฟุซาเอะ แคมเบล,65.jpg
โอกิโนะ โยโกะ,66.jpg
